JOB-Title,Organinsation,Location,Ratings,Job-Description,Date-of-Posting,Salary
Service Associate - HR,IBM,"Bengaluru, Karnataka",4.0,"To think along with clients and sell.
As Senior Practitioner-HR, you will be supporting employee and business needs in delivering outstanding HR services for…",3 days ago,NA
Data Analyst,"Remote Technology, Inc",Remote in India,4.0,"As a Data Analyst, you will be the link between data producers and data consumers at Remote.
Build strong documentation around data definitions.",Just posted,NA
"Architect, Big Data Services & Oracle Lake, India",Oracle,India,NA,"Design, develop, troubleshoot and debug software programs for databases, applications, tools, networks etc.
Provide consultative software guidance and strategic…",1 day ago,NA
Big Data Engineer,Oracle,India,4.0,"Design, develop, troubleshoot and debug software programs for databases, applications, tools, networks etc.
Duties and tasks are standard with some variation;…",3 days ago,NA
"Data Miner, global analytic",Concentrix,"Gurgaon, Haryana",4.0,"Experience in typical big data analytics environments.
2+ years’ experience in advanced analytics and big data processing experience.",2 days ago,NA
Big Data Developer,Oracle,"Bengaluru, Karnataka",4.1,"Analyze, design develop, troubleshoot and debug software programs for commercial or end user applications.
As a member of the software engineering division, you…",30+ days ago,NA
Python + Big Data Engineer,KPMG,"Bengaluru, Karnataka",4.2,"Experience in the use of multi-dimensional data, data curation processes, and the measurement/improvement of data quality.
2 - 7 years of experience in Python.",30+ days ago,NA
Big Data Analyst,StatusNeo Technology Consulting,"Gurgaon, Haryana",3.5,"Experience with big data tools Hortonworks / Cloudera.
Implementing end to end data pipelines for serving reporting and data science capabilities.",1 day ago,NA
Big Data Developer,QuEST Global Engineering,"Pune, Maharashtra",3.9,"Experience with being solution leader for data lake and data warehouse.
Innovate, design, develop data extraction, transfer and load programs for large data…",3 days ago,NA
Data Analyst,HP,"Gurgaon, Haryana+1 location",5.0,"A firm grasp of statistical analysis using advertising account data and experience with pulling data using SQL.
An inquisitive mind and a passion for data.",Today,NA
Staff Engineer - Big Data,Seagate Technology,"Pune, Maharashtra",3.5,"Architecting and developing big data solutions on cloud (AWS or Other).
Advanced experience and hands-on architecture and administration experience on big data…",11 days ago,NA
Big Data Sales,NEC Opportunities,"Delhi, Delhi",3.7,"You will play a pivotal role of building and driving initiatives & responsible to achieve sales target, team management, channel management, P&L management etc.",30+ days ago,NA
Data Analyst - Vehicle Forecasting-2,IHS Markit,"Gurgaon, Haryana",4.1,"Experience using big data tools for data manipulation.
1 to 3 years of experience in building data analytics solutions and data workflows.",1 day ago,NA
Talend Big Data,Accenture,"Bengaluru, Karnataka",NA,Key Responsibilities : Design and development of data movements using SQL Server and ETL tool Talend Build the interface to extract the data and determine any…,9 days ago,NA
Big Data,CGI Inc,"Bengaluru, Karnataka",3.9,"Experience with integration of data from multiple data sources.
Strong knowledge of SQL and advanced data analysis.",1 day ago,NA
Big Data Administrator,Autodesk,"Bengaluru, Karnataka",4.0,"Solid hands-on experience with HADOOP, SPARK , Sqoop, Hive, Oozie, Airflow and other components required in building end to end data pipelines.",7 days ago,NA
Data Engineer,Siemens Technology and Services Private Limited,"Bengaluru, Karnataka",4.0,"Build the infrastructure required for optimal extraction, transformation, and loading of data from a wide variety of data sources using AWS ‘big data’…",6 days ago,NA
Engineer-Data Analytics(5-8 Years),Siemens,"Chennai, Tamil Nadu",NA,"You should have Experience with data analytics and workflow monitoring.
Very good hands-on experience in developing data analytics/ visualization applications…",Just posted,NA
Data Engineer,UB Technology Innovations,"Chennai, Tamil Nadu",4.0,"Understand data usage and implications for data migration.
Good at writing data migration, cleansing, conversion, validation procedures and perform data…",Today,"₹10,00,000 - ₹20,00,000 a year"
Data Engineer_Ban_EAC_2022,Bosch Group,"Bengaluru, Karnataka",4.0,"Should be able to handle both big data and small data.
Experience with data analytics tools.
Responsible and self-driven work in the field of data engineering.",Just posted,NA
Data Model Engineer,Siemens Technology and Services Private Limited,"Bengaluru, Karnataka",4.1,"Advance Level knowledge on data integration and complex data workflows.
Expert in converting data into RDF.
Querying data from Graph Data base using SPARQL.",1 day ago,NA
Engineer Data Management,EATON,"Puducherry, Puducherry",4.2,"Enable the transfer from paper catalogs to data-base driven technical data publication by data-basing paper catalog content.
High level of attention to detail.",2 days ago,NA
Data Engineer - Data Quality,FARFETCH,"Delhi, Delhi",3.5,"Work on data engineering challenges that arise from Farfetch's scale and data growth.
You will be responsible for implementing and evolving data quality tools…",9 days ago,NA
Azure Data Engineer - FastTrack for Azur,Microsoft,"Bengaluru, Karnataka",3.9,"As a customer data engineer, you will primarily be working with customers in providing guidance & sharing best practices to ensure reliable, scalable, secured…",9 days ago,NA
Data Quality Engineer,Lenovo,"Bengaluru, Karnataka",5.0,"Identify and manage critical data quality issues and risks to deliver continuous data quality.
Develop data quality automation tests and data pipelines,…",9 days ago,NA
Software Engineer Backend,Myntra.com,"Bengaluru, Karnataka",3.5,"Experience with distributed systems handling large amount of data.
Strong problem-Solving skills, data structures and algorithms.",Today,NA
Data Engineer – ED&A,Nike,"Bengaluru, Karnataka",3.7,"Participate in design, code, test plans and dataset implementation performed by other data engineers in support of maintaining data engineering standards.",7 days ago,NA
"Network Engineer, University Graduate, 2022",Google,"Bengaluru, Karnataka+1 location",4.1,"You will be a network engineer, managing and supporting both traditional and software defined networking (SDN) space.",Today,NA
Data engineer,Wise Monk,Remote,NA,"Previous experience as a data engineer or in a similar role.
You will use various methods to transform raw data into useful data systems.",30+ days ago,"₹20,00,000 a year"
Graduate - Software Development Engineer-I,Discovery Communications,"Pune, Maharashtra",3.9,Contribute to the product and services development process; Design and test your own hypophysis by collecting and measuring data.,5 days ago,NA
Data Engineer Internship,Crypto Mize,"Delhi, Delhi",4.0,"A Data Warehouse Engineer is a person who specializes in providing support to our software developers, database architects, data analysts and data scientists on…",30+ days ago,NA
